COUNT;OP_ID;OLD_PARENT_NODE_TYPE;OLD_PARENT_NODE_GMLID;OF_OLD_NEAREST_GMLID;OF_OLD_BUILDING_GMLID;PROPERTY_NAME;NEW_VALUE;IS_OPTIONAL;MESSAGE
56;872dc0f0-4c90-442c-9628-698489612776;X3D_MATERIAL;UUID_2088bc59-eddc-4649-b988-8ea9396e9f3a;UUID_2088bc59-eddc-4649-b988-8ea9396e9f3a;BLDG_0003000b00447cfc;shininess;"0.0";false;Property has been inserted to the new city model.
57;3bdb91db-aa74-4d09-bce4-9da34b89d899;X3D_MATERIAL;UUID_d16c4446-a4c2-4557-98e3-2ab453c5c5d1;UUID_d16c4446-a4c2-4557-98e3-2ab453c5c5d1;BLDG_000300000007c5a9;shininess;"0.0";false;Property has been inserted to the new city model.
58;5528be95-0311-49fc-9784-eff56f92c85c;X3D_MATERIAL;UUID_d4a76420-fe6c-4391-a52a-a69ff6f4fffc;UUID_d4a76420-fe6c-4391-a52a-a69ff6f4fffc;BLDG_0003000f00127171;shininess;"0.0";false;Property has been inserted to the new city model.
59;df711eb3-4477-403a-ad78-12881d0f28ff;X3D_MATERIAL;UUID_74baf270-8989-44e1-abec-97fa360994bf;UUID_74baf270-8989-44e1-abec-97fa360994bf;BLDG_00030009007acced;shininess;"0.0";false;Property has been inserted to the new city model.
60;526551a4-58a9-490e-8cdb-52e605ad69e4;X3D_MATERIAL;UUID_4d2baae7-1b52-4893-94b1-4c29cc91e013;UUID_4d2baae7-1b52-4893-94b1-4c29cc91e013;BLDG_000300010004ddf2;shininess;"0.0";false;Property has been inserted to the new city model.
61;84bc711e-f4c5-444e-a375-2bf4efa0aaad;X3D_MATERIAL;UUID_6b4458b8-6216-411d-b050-d5f2e175fa80;UUID_6b4458b8-6216-411d-b050-d5f2e175fa80;BLDG_0003000000270d57;shininess;"0.0";false;Property has been inserted to the new city model.
62;018237ac-598d-4ff9-9b83-d0244440a4a7;X3D_MATERIAL;UUID_782df2b6-c3ed-4b16-ac6d-2c6dddae030f;UUID_782df2b6-c3ed-4b16-ac6d-2c6dddae030f;BLDG_0003000b00373e88;shininess;"0.0";false;Property has been inserted to the new city model.
63;32680f5c-8298-4381-b80a-c42cfc983428;X3D_MATERIAL;UUID_0b937161-8474-4d24-a4b3-b7d1e32f2dbe;UUID_0b937161-8474-4d24-a4b3-b7d1e32f2dbe;BLDG_0003000e00a5d428;shininess;"0.0";false;Property has been inserted to the new city model.
64;835dcf1b-575f-4f6f-8402-9cf4dcd5ec68;X3D_MATERIAL;UUID_d13b0b8b-edbc-45eb-be26-fcbc7e08c98c;UUID_d13b0b8b-edbc-45eb-be26-fcbc7e08c98c;BLDG_0003000b00446e4d;shininess;"0.0";false;Property has been inserted to the new city model.
65;cac5d3c8-b125-4525-bedb-b3a847d01309;X3D_MATERIAL;UUID_5202611e-2a50-4138-96dc-2ac2a3b7e391;UUID_5202611e-2a50-4138-96dc-2ac2a3b7e391;BLDG_000300000043010f;shininess;"0.0";false;Property has been inserted to the new city model.
